P,T,vf,vg,uf,ug,hf,hfg,hg,sf,sfg,sg
1000,6.9696,0.0010001,129.18,29298,2384500,29299,2484401,2513700,105.91,8868.99,8974.9
1200,9.6538,0.0010003,108.67,40568,2388200,40569,2478031,2518600,145.95,8762.25,8908.2
1400,11.969,0.0010005,93.899,50279,2391300,50280,2472520,2522800,180.15,8671.95,8852.1
1600,14.01,0.0010008,82.743,58831,2394100,58833,2467667,2526500,210.04,8593.46,8803.5
1800,15.837,0.0010011,74.011,66487,2396600,66489,2463411,2529900,236.62,8524.18,8760.8
2000,17.495,0.0010014,66.987,73426,2398900,73428,2459472,2532900,260.56,8462.04,8722.6
3000,24.079,0.0010028,45.653,100970,2407900,100980,2443820,2544800,354.29,8222.11,8576.4
4000,28.96,0.0010041,34.791,121380,2414500,121390,2432310,2553700,422.39,8051.01,8473.4
6000,36.159,0.0010065,23.733,151470,2424200,151480,2415120,2566600,520.82,7808.18,8329
8000,41.509,0.0010085,18.099,173830,2431400,173840,2402360,2576200,592.49,7634.81,8227.3
10000,45.806,0.0010103,14.67,191800,2437200,191810,2392090,2583900,649.2,7499.6,8148.8
12000,49.419,0.0010119,12.358,206900,2442000,206910,2383390,2590300,696.28,7388.62,8084.9
14000,52.547,0.0010134,10.691,219980,2446100,219990,2375810,2595800,736.64,7294.46,8031.1
16000,55.313,0.0010147,9.4306,231550,2449800,231570,2369030,2600600,772.01,7212.59,7984.6
18000,57.798,0.001016,8.4431,241950,2453000,241960,2363040,2605000,803.55,7140.15,7943.7
20000,60.058,0.0010172,7.648,251400,2456000,251420,2357480,2608900,832.02,7075.18,7907.2
30000,69.095,0.0010222,5.2284,289240,2467700,289270,2335230,2624500,944.07,6823.43,7767.5
40000,75.857,0.0010264,3.993,317580,2476300,317620,2318480,2636100,1026.1,6642.9,7669
60000,85.926,0.0010331,2.7317,359840,2489000,359910,2292990,2652900,1145.4,6385.7,7531.1
80000,93.486,0.0010385,2.0871,391630,2498200,391710,2273490,2665200,1233,6200.9,7433.9
100000,99.606,0.0010432,1.6939,417400,2505600,417500,2257400,2674900,1302.8,6056,7358.8
120000,104.78,0.0010473,1.4284,439230,2511700,439360,2243740,2683100,1360.9,5936.8,7297.7
140000,109.29,0.001051,1.2366,458270,2516900,458420,2231580,2690000,1411,5835.1,7246.1
160000,113.3,0.0010544,1.0914,475210,2521400,475380,2220620,2696000,1455.1,5746.3,7201.4
180000,116.91,0.0010576,0.97747,490510,2525500,490700,2210700,2701400,1494.5,5667.6,7162.1
200000,120.21,0.0010605,0.88568,504490,2529100,504700,2201500,2706200,1530.2,5596.7,7126.9
300000,133.52,0.0010732,0.60576,561100,2543200,561430,2163470,2724900,1671.7,5319.9,6991.6
400000,143.61,0.0010836,0.46238,604220,2553100,604650,2133450,2738100,1776.5,5119,6895.5
600000,158.83,0.0011006,0.31558,669720,2566800,670380,2085720,2756100,1930.8,4828.4,6759.2
800000,170.41,0.0011148,0.24034,719970,2576000,720860,2047440,2768300,2045.7,4615.9,6661.6
1000000,179.88,0.0011272,0.19436,761390,2582700,762520,2014580,2777100,2138.1,4446.9,6585
1200000,187.96,0.0011385,0.16326,796960,2587800,798330,1985370,2783700,2215.9,4305.8,6521.7
1400000,195.04,0.0011489,0.14078,828360,2591800,829970,1958830,2788800,2283.5,4184,6467.5
1600000,201.37,0.0011587,0.12374,856600,2594800,858460,1934340,2792800,2343.5,4076.4,6419.9
1800000,207.11,0.0011679,0.11037,882370,2597200,884470,1911430,2795900,2397.5,3980,6377.5
2000000,212.38,0.0011767,0.099585,906140,2599100,908500,1889800,2798300,2446.8,3892.2,6339
3000000,233.85,0.0012167,0.066664,1004700,2603200,1008300,1794900,2803200,2645.5,3540.1,6185.6
4000000,250.35,0.0012526,0.049776,1082500,2601700,1087500,1713300,2800800,2796.8,3272.8,6069.6
6000000,275.58,0.0013193,0.032448,1206000,2589900,1213900,1570700,2784600,3027.8,2862.3,5890.1
8000000,295.01,0.0013847,0.023526,1306200,2570500,1317300,1441400,2758700,3208.1,2536.9,5745
10000000,311,0.0014526,0.01803,1393500,2545200,1408100,1317400,2725500,3360.6,2255.4,5616
12000000,324.68,0.0015263,0.014264,1473100,2514300,1491500,1193900,2685400,3496.7,1997.2,5493.9
14000000,336.67,0.0016097,0.011485,1548400,2477100,1571000,1066900,2637900,3623.2,1749.5,5372.7
16000000,347.35,0.0017094,0.0093088,1622300,2431800,1649700,931100,2580800,3745.7,1500.6,5246.3
18000000,356.99,0.0018398,0.0075017,1699000,2374800,1732100,777700,2509800,3871.8,1234.3,5106.1
20000000,365.75,0.00204,0.0058652,1786400,2295000,1827200,585100,2412300,4015.6,915.8,4931.4
22064000,373.95,0.0031056,0.0031056,2015700,2015700,2084300,0,2084300,4407,0,4407
