T,P,vf,vg,uf,ug,hf,hfg,hg,sf,sg
-40,51640,0.0007055,0.3569,-40,204450,0,222880,222880,0,956
-36,63320,0.0007113,0.2947,4680,206730,4730,220670,225400,20.1,950.6
-32,77040,0.0007172,0.2451,9470,209010,9520,218370,227900,40.1,945.6
-28,93050,0.0007233,0.2052,14310,211290,14370,216010,230380,60,941.1
-26,101990,0.0007265,0.1882,16750,212430,16820,214800,231620,69.9,939
-24,111600,0.0007296,0.1728,19210,213570,19290,213570,232850,79.8,937
-22,121920,0.0007328,0.159,21680,214700,21770,212320,234080,89.7,935.1
-20,132990,0.0007361,0.1464,24170,215840,24260,211050,235310,99.6,933.2
-18,144830,0.0007395,0.135,26670,216970,26770,209760,236530,109.4,931.5
-16,157480,0.0007428,0.1247,29180,218100,29300,208450,237740,119.2,929.8
-12,185400,0.0007498,0.1068,34250,220360,34390,205770,240150,138.8,926.7
-8,217040,0.0007569,0.0919,39380,222600,39540,203000,242540,158.3,923.9
-4,252740,0.0007644,0.0794,44560,224840,44750,200150,244900,177.7,921.3
0,292820,0.0007721,0.0689,49790,227060,50020,197210,247230,197,919
4,337650,0.0007801,0.06,55080,229270,55350,194190,249530,216.2,916.9
8,387560,0.0007884,0.0525,60430,231460,60730,191070,251800,235.4,915
12,442940,0.0007971,0.046,65830,233630,66180,187850,254030,254.5,913.2
16,504160,0.0008062,0.0405,71290,235780,71690,184520,256220,273.5,911.6
20,571600,0.0008157,0.0358,76800,237910,77260,181090,258360,292.4,910.2
24,645660,0.0008257,0.0317,82370,240010,82900,177550,260450,311.3,908.9
26,685300,0.0008309,0.0298,85180,241050,85750,175730,261480,320.8,908.2
28,726750,0.0008362,0.0281,88000,242080,88610,173890,262500,330.2,907.6
30,770060,0.0008417,0.0265,90840,243100,91490,172000,263500,339.6,907
32,815280,0.0008473,0.025,93700,244120,94390,170090,264480,349,906.4
34,862470,0.000853,0.0236,96580,245120,97310,168140,265450,358.4,905.8
36,911680,0.000859,0.0223,99470,246110,100250,166150,266400,367.8,905.3
38,962980,0.0008651,0.021,102380,247090,103210,164120,267330,377.2,904.7
40,1016400,0.0008714,0.0199,105300,248060,106190,162050,268240,386.6,904.1
42,1072000,0.000878,0.0188,108250,249020,109190,159940,269140,396,903.5
44,1129900,0.0008847,0.0177,111220,249960,112220,157790,270010,405.4,903
48,1252600,0.0008989,0.0159,117220,251790,118350,153330,271680,424.3,901.7
52,1385100,0.0009142,0.0142,123310,253550,124580,148660,273240,443.2,900.4
56,1527800,0.0009308,0.0127,129510,255230,130930,143750,274680,462.2,899
60,1681300,0.0009488,0.0114,135820,256810,137420,138570,275990,481.4,897.3
70,2116200,0.0010027,0.0086,152220,260150,154340,124080,278430,530.2,891.8
80,2632400,0.0010766,0.0064,169880,262140,172710,106410,279120,581.4,882.7
90,3243500,0.0011949,0.0046,189820,261340,193690,82630,276320,638,865.5
100,3974200,0.0015443,0.0027,218600,248490,224740,34400,259130,719.6,811.7
