P,T,vf,vg,uf,ug,hf,hfg,hg,sf,sg
0.4,-58.86,0.0006847,0.5056,-20.36,204.13,-20.34,244.69,224.36,-0.0907,1.0512
0.5,-54.83,0.0006901,0.4107,-16.07,205.76,-16.03,242.33,226.3,-0.0709,1.0391
0.6,-51.4,0.0006947,0.3466,-12.39,207.14,-12.35,240.28,227.93,-0.0542,1.0294
0.7,-48.4,0.0006989,0.3002,-9.17,208.34,-9.12,238.47,229.35,-0.0397,1.0213
0.8,-45.73,0.0007026,0.265,-6.28,209.41,-6.23,236.84,230.61,-0.027,1.0144
0.9,-43.3,0.0007061,0.2374,-3.66,210.37,-3.6,235.34,231.74,-0.0155,1.0084
1,-41.09,0.0007093,0.2152,-1.26,211.25,-1.19,233.95,232.77,-0.0051,1.0031
1.25,-36.23,0.0007166,0.1746,4.04,213.16,4.13,230.86,234.99,0.0175,0.9919
1.5,-32.08,0.000723,0.1472,8.6,214.77,8.7,228.15,236.86,0.0366,0.983
1.75,-28.44,0.0007287,0.1274,12.61,216.18,12.74,225.73,238.47,0.0531,0.9755
2,-25.18,0.000734,0.1123,16.22,217.42,16.37,223.52,239.88,0.0678,0.9691
2.25,-22.22,0.0007389,0.1005,19.51,218.53,19.67,221.47,241.15,0.0809,0.9636
2.5,-19.51,0.0007436,0.091,22.54,219.55,22.72,219.57,242.29,0.093,0.9586
2.75,-17,0.0007479,0.0831,25.36,220.48,25.56,217.77,243.33,0.104,0.9542
3,-14.66,0.0007521,0.0765,27.99,221.34,28.22,216.07,244.29,0.1143,0.9502
3.25,-12.46,0.0007561,0.0709,30.47,222.13,30.72,214.46,245.18,0.1238,0.9465
3.5,-10.39,0.0007599,0.0661,32.82,222.88,33.09,212.91,246,0.1328,0.9431
3.75,-8.43,0.0007636,0.0618,35.06,223.58,35.34,211.42,246.77,0.1413,0.9399
4,-6.56,0.0007672,0.0581,37.18,224.24,37.49,209.99,247.48,0.1493,0.937
4.25,-4.78,0.0007706,0.0548,39.22,224.86,39.55,208.61,248.16,0.1569,0.9342
4.5,-3.08,0.000774,0.0519,41.17,225.45,41.52,207.27,248.8,0.1642,0.9316
4.75,-1.45,0.0007773,0.0492,43.05,226,43.42,205.98,249.4,0.1711,0.9292
5,0.12,0.0007805,0.0469,44.86,226.54,45.25,204.71,249.97,0.1777,0.9269
5.25,1.63,0.0007836,0.0447,46.61,227.04,47.02,203.48,250.51,0.1841,0.9247
5.5,3.08,0.0007867,0.0427,48.3,227.53,48.74,202.28,251.02,0.1903,0.9226
5.75,4.49,0.0007897,0.0409,49.94,227.99,50.4,201.11,251.51,0.1962,0.9206
6,5.85,0.0007927,0.0392,51.53,228.44,52.01,199.97,251.98,0.2019,0.9186
7,10.91,0.0008041,0.0337,57.48,230.04,58.04,195.6,253.64,0.2231,0.9117
8,15.45,0.0008149,0.0295,62.88,231.43,63.53,191.52,255.05,0.2419,0.9056
9,19.59,0.0008252,0.0262,67.84,232.64,68.59,187.67,256.25,0.2591,0.9001
10,23.4,0.0008352,0.0236,72.46,233.71,73.3,183.99,257.28,0.2748,0.8952
12,30.25,0.0008546,0.0195,80.87,235.48,81.9,177.04,258.94,0.3029,0.8864
14,36.29,0.0008734,0.0166,88.45,236.89,89.68,170.49,260.16,0.3277,0.8786
16,41.73,0.0008919,0.0144,95.41,238,96.83,164.21,261.04,0.35,0.8715
18,46.69,0.0009104,0.0127,101.87,238.86,103.51,158.13,261.64,0.3705,0.8649
20,51.26,0.0009291,0.0112,107.95,239.51,109.81,152.17,261.98,0.3895,0.8586
24,59.46,0.0009677,0.0091,119.24,240.22,121.56,140.43,261.99,0.4241,0.8463
